adm4_pcode,adm4_en,adm3_pcode,adm3_en,adm2_pcode,adm2_en,adm1_pcode,adm1_en,brgy_total_area,uuid,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high
PH072230024,Tawason,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.2288,PNHZD00004B,1/1/2015,S,9.0076,7.6394,2.2985,0,0,0,0,0,0,10.9474,21.8352,1.8569
PH072230025,Tingub,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.048,PNHZD00004C,1/1/2015,S,9.8841,23.7746,38.5303,0,0,0,0,0,0,1.4241,0.2523,0
PH072230013,Ibabao-Estancia,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.5616,PNHZD00004D,1/1/2015,S,26.0936,5.6427,0.7714,0,0,0,0,0,0,0.1659,0.2601,0
PH072230026,Tipolo,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,2.2622,PNHZD00004E,1/1/2015,S,28.0023,14.772,0.0044,0,0,0,0,0,0,0.003,0,0
PH072230003,Banilad,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.9829,PNHZD00004F,1/1/2015,S,27.129,10.0623,0.387,0,0,0,0,0,0,0,0,0
PH072230009,Casuntingan,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.7908,PNHZD000050,1/1/2015,S,9.1001,3.3734,4.6139,0,0,0,0,0,0,0.4715,0.2541,0
PH072230027,Umapad,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,2.1302,PNHZD000051,1/1/2015,S,12.5203,21.6809,3.8599,0,0,0,0,0,0,0,0,0
PH072230008,Casili,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.389,PNHZD000052,1/1/2015,S,2.7,5.4753,1.6005,0,0,0,0,0,0,12.4925,28.9138,0
PH072230022,Subangdaku,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,2.1616,PNHZD000053,1/1/2015,S,15.7135,45.5713,0.9995,0,0,0,0,0,0,0,0,0
PH072230018,Mantuyong,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.1332,PNHZD000054,1/1/2015,S,12.4675,37.5041,0.0751,0,0,0,0,0,0,0,0,0
PH072230012,Guizo,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.3919,PNHZD000055,1/1/2015,S,24.7851,5.1761,0.1531,0,0,0,0,0,0,0,0,0
PH072230007,Canduman,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.8807,PNHZD000056,1/1/2015,S,11.6759,21.2962,13.1175,0,0,0,0,0,0,0.9276,0.1426,0
PH072230004,Basak,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.7074,PNHZD000057,1/1/2015,S,19.2503,24.397,11.3418,0,0,0,0,0,0,0,0,0
PH072230021,Pagsabungan,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.4296,PNHZD000058,1/1/2015,S,8.4596,9.7488,0.4862,0,0,0,0,0,0,1.0386,0.4467,0
PH072230019,Opao,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.0157,PNHZD000059,1/1/2015,S,31.1449,28.8063,0.9649,0,0,0,0,0,0,0,0,0
PH072230005,Cabancalan,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.97,PNHZD00005A,1/1/2015,S,19.0255,18.1682,4.5647,0,0,0,0,0,0,0.7583,0.2311,0
PH072230010,Centro (Pob.),PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.3173,PNHZD00005B,1/1/2015,S,23.5583,30.5708,0,0,0,0,0,0,0,0,0,0
PH072230020,Pakna-an,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,2.281,PNHZD00005C,1/1/2015,S,20.5728,19.7216,8.0926,0,0,0,0,0,0,0.0219,0,0
PH072230017,Maguikay,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,1.2162,PNHZD00005D,1/1/2015,S,10.6638,23.3542,9.3605,0,0,0,0,0,0,0.7425,0.1108,0.0785
PH072230002,Bakilid,PH072230000,Mandaue City,PH072200000,Cebu,PH070000000,Region VII,0.405,PNHZD00005E,1/1/2015,S,21.8949,0.0247,0,0,0,0,0,0,0,0,0,0
